STATION_NAME_RAW,STATION_NAME,NAME_CHANGED?,Complex ID,Latitude,Longitude,Neighborhood,PUMA,Borough
1 AV-L,1 AV (L),No,119,40.730953,-73.981628,Chinatown & Lower East Side ,3809,Manhattan
103 ST-1,103 ST (1),No,309,40.799446,-73.968379,Upper West Side & West Side ,3806,Manhattan
103 ST-6,103 ST (6),No,395,40.7906,-73.947478,East Harlem ,3804,Manhattan
103 ST-BC,"103 ST (B,C)",No,156,40.796092,-73.961454,Upper West Side & West Side ,3806,Manhattan
103 ST-CORONA-7,103 ST-CORONA PLAZA (7),NAME_ONLY,450,40.749865,-73.8627,Jackson Heights & North Corona ,4102,Queens
104 ST-A,104 ST (A),No,193,40.681711,-73.837683,Howard Beach & Ozone Park ,4113,Queens
104 ST-JZ,"104 ST (J,Z)",No,82,40.695178,-73.84433,Richmond Hill & Woodhaven ,4111,Queens
110 ST-6,110 ST (6),No,394,40.79502,-73.94425,East Harlem ,3804,Manhattan
111 ST-7,111 ST (7),No,449,40.75173,-73.855334,Jackson Heights & North Corona ,4102,Queens
111 ST-A,111 ST (A),No,194,40.684331,-73.832163,Howard Beach & Ozone Park ,4113,Queens
111 ST-J,111 ST (J),No,81,40.697418,-73.836345,Richmond Hill & Woodhaven ,4111,Queens
116 ST-23,"116 ST (2,3)",No,440,40.802098,-73.949625,Central Harlem ,3803,Manhattan
116 ST-6,116 ST (6),No,393,40.798629,-73.941617,East Harlem ,3804,Manhattan
116 ST-BC,"116 ST (B,C)",No,154,40.805085,-73.954882,Central Harlem ,3803,Manhattan
116 ST-COLUMBIA-1,116 ST-COLUMBIA UNIVERSITY (1),NAME_ONLY,307,40.807722,-73.96411,"Hamilton Heights, Manhattanville & West Harlem ",3802,Manhattan
121 ST-JZ,"121 ST (J,Z)",No,80,40.700492,-73.828294,Richmond Hill & Woodhaven ,4111,Queens
125 ST-1,125 ST (1),No,306,40.815581,-73.958372,"Hamilton Heights, Manhattanville & West Harlem ",3802,Manhattan
125 ST-23,"125 ST (2,3)",No,439,40.807754,-73.945495,Central Harlem ,3803,Manhattan
125 ST-456,"125 ST (4,5,6)",No,392,40.804138,-73.937594,East Harlem ,3804,Manhattan
125 ST-ACBD,"125 ST (A,C,B,D)",No,153,40.811109,-73.952343,"Hamilton Heights, Manhattanville & West Harlem ",3802,Manhattan
135 ST-23,"135 ST (2,3)",No,152,40.817894,-73.947649,Central Harlem ,3803,Manhattan
135 ST-BC,"135 ST (B,C)",No,438,40.814229,-73.94077,"Hamilton Heights, Manhattanville & West Harlem ",3802,Manhattan
137 ST CITY COL-1,137 ST-CITY COLLEGE (1),NAME_ONLY,305,40.822008,-73.953676,"Hamilton Heights, Manhattanville & West Harlem ",3802,Manhattan
138/GRAND CONC-45,"138 ST-GRAND CONCOURSE (4,5)",NAME_ONLY,391,40.813224,-73.929849,"Hunts Point, Longwood & Melrose ",3710,Bronx
14 ST-123FLM,"14 ST/6 AV (1,2,3,F,L,M)",DUPLICATED,601,40.737826,-74.000201,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
14 ST-ACEL,"14 ST/8 AV (A,C,E,L)",DUPLICATED,618,40.740893,-74.00169,"Chelsea, Clinton & Midtown Business District ",3807,Manhattan
14 ST-FLM123,"14 ST/6 AV (1,2,3,F,L,M)",DUPLICATED,601,40.737826,-74.000201,"Chelsea, Clinton & Midtown Business District ",3807,Manhattan
14 ST-UNION SQ-456LNQRW,"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",DUPLICATED,602,40.734673,-73.989951,"Chelsea, Clinton & Midtown Business District ",3807,Manhattan
14 ST-UNION SQ-LNQR456W,"14 ST-UNION SQ (4,5,6,L,N,Q,R,W)",DUPLICATED,602,40.734673,-73.989951,"Chelsea, Clinton & Midtown Business District ",3807,Manhattan
145 ST-1,145 ST (1),NO,304,40.826551,-73.95036,"Hamilton Heights, Manhattanville & West Harlem ",3802,Manhattan
145 ST-3,145 ST (3),NO,437,40.820421,-73.936245,Central Harlem ,3803,Manhattan
145 ST-ABCD,"145 ST (A,B,C,D)",COMBINED,151,40.824783,-73.944216,"Hamilton Heights, Manhattanville & West Harlem ",3802,Manhattan
149/GRAND CONC-245,"149 ST-GRAND CONCOURSE (2,4,5)",NAME_ONLY,603,40.81841,-73.926718,"Hunts Point, Longwood & Melrose ",3710,Bronx
15 ST-PROSPECT-FG,"15 ST-PROSPECT PARK (F,G)",NAME_ONLY,241,40.660365,-73.979493,Sunset Park & Windsor Terrace ,4012,Brooklyn
155 ST-BD,"155 ST (B,D)",NO,220,40.830135,-73.938209,Central Harlem ,3803,Manhattan
155 ST-C,155 ST (C),NO,150,40.830518,-73.941514,"Hamilton Heights, Manhattanville & West Harlem ",3802,Manhattan
157 ST-1,157 ST (1),NO,303,40.834041,-73.94489,"Washington Heights, Inwood & Marble Hill ",3801,Manhattan
161/YANKEE STAD-4BD,"161 ST-YANKEE STADIUM (4,B,D)",DUPLICATED,604,40.827994,-73.925831,"Concourse, Highbridge & Mount Eden ",3708,Bronx
161/YANKEE STAD-BD4,"161 ST-YANKEE STADIUM (4,B,D)",DUPLICATED,604,40.827994,-73.925831,"Concourse, Highbridge & Mount Eden ",3708,Bronx
163 ST-AMSTERDM-C,163 ST-AMSTERDAM AV (C),NAME_ONLY,149,40.836013,-73.939892,"Washington Heights, Inwood & Marble Hill ",3801,Manhattan
167 ST-4,167 ST (4),NO,388,40.835537,-73.9214,"Concourse, Highbridge & Mount Eden ",3708,Bronx
167 ST-BD,"167 ST (B,D)",NO,218,40.833771,-73.91844,"Concourse, Highbridge & Mount Eden ",3708,Bronx
168 ST-1AC,"168 ST-WASHINGTON HTS (1,A,C)",DUPLICATED,605,40.840556,-73.940133,"Washington Heights, Inwood & Marble Hill ",3801,Manhattan
168 ST-AC1,"168 ST-WASHINGTON HTS (1,A,C)",DUPLICATED,605,40.840556,-73.940133,"Washington Heights, Inwood & Marble Hill ",3801,Manhattan
169 ST-F,169 ST (F),NO,255,40.71047,-73.793604,"Jamaica, Hollis & St. Albans ",4112,Queens
170 ST-4,170 ST (4),NO,387,40.840075,-73.917791,"Concourse, Highbridge & Mount Eden ",3708,Bronx
