station,period,entries_diff,exits_diff
1 AV (L),2018-12-01,38846.0,48451.0
1 AV (L),2019-01-01,554817.0,629937.0
1 AV (L),2019-02-01,370182.0,418573.0
1 AV (L),2019-03-01,470764.0,516580.0
1 AV (L),2019-04-01,522903.0,586210.0
1 AV (L),2019-05-01,474070.0,540035.0
1 AV (L),2019-06-01,447543.0,501527.0
1 AV (L),2019-07-01,422979.0,475678.0
1 AV (L),2019-08-01,400456.0,454031.0
1 AV (L),2019-09-01,407409.0,453313.0
1 AV (L),2019-10-01,474848.0,521811.0
1 AV (L),2019-11-01,421862.0,468859.0
1 AV (L),2019-12-01,409098.0,470539.0
1 AV (L),2020-01-01,433852.0,497230.0
1 AV (L),2020-02-01,383831.0,464922.0
1 AV (L),2020-03-01,201853.0,273699.0
1 AV (L),2020-04-01,37314.0,62160.0
1 AV (L),2020-05-01,49850.0,76545.0
1 AV (L),2020-06-01,82707.0,123857.0
1 AV (L),2020-07-01,121085.0,172204.0
1 AV (L),2020-08-01,140340.0,200799.0
1 AV (L),2020-09-01,166379.0,227731.0
1 AV (L),2020-10-01,193791.0,262422.0
1 AV (L),2020-11-01,172199.0,240100.0
1 AV (L),2020-12-01,152721.0,232906.0
1 AV (L),2021-01-01,151843.0,240712.0
1 AV (L),2021-02-01,144663.0,230150.0
1 AV (L),2021-03-01,72600.0,116712.0
103 ST (1),2018-12-01,25870.0,12549.0
103 ST (1),2019-01-01,330161.0,170617.0
103 ST (1),2019-02-01,315239.0,162960.0
103 ST (1),2019-03-01,339322.0,174736.0
103 ST (1),2019-04-01,340546.0,169224.0
103 ST (1),2019-05-01,355701.0,177051.0
103 ST (1),2019-06-01,259312.0,127045.0
103 ST (1),2019-07-01,251433.0,124073.0
103 ST (1),2019-08-01,273778.0,137266.0
103 ST (1),2019-09-01,324440.0,162954.0
103 ST (1),2019-10-01,344541.0,178664.0
103 ST (1),2019-11-01,320172.0,169048.0
103 ST (1),2019-12-01,325465.0,167834.0
103 ST (1),2020-01-01,315439.0,171785.0
103 ST (1),2020-02-01,295095.0,156487.0
103 ST (1),2020-03-01,161796.0,99175.0
103 ST (1),2020-04-01,27287.0,25199.0
