station,period,entries_diff,exits_diff
1 AV (L),2020-04-01,0.07135931520760064,0.106037085686017
1 AV (L),2020-05-01,0.10515324741071996,0.1417408130954475
1 AV (L),2020-06-01,0.18480235418719548,0.2469597848171684
1 AV (L),2020-07-01,0.2862671669279089,0.3620180037756633
1 AV (L),2020-08-01,0.350440497832471,0.44357543868149973
1 AV (L),2020-09-01,0.40838322177467856,0.5023703269043686
1 AV (L),2020-10-01,0.4081116483590539,0.5029062246675521
1 AV (L),2020-11-01,0.4081879856445947,0.5120942543493886
1 AV (L),2020-12-01,0.3733115292668261,0.4949770369724933
1 AV (L),2021-01-01,0.349988014345906,0.48410594694608133
1 AV (L),2021-02-01,0.37689243443077813,0.49502927372763605
103 ST (1),2020-04-01,0.08012720748445146,0.1489091381837091
103 ST (1),2020-05-01,0.09321593135807882,0.16653958463945417
103 ST (1),2020-06-01,0.1862042635898069,0.3200047227360384
103 ST (1),2020-07-01,0.2583988577473919,0.4313186591764526
103 ST (1),2020-08-01,0.25926480579155375,0.43387291827546515
103 ST (1),2020-09-01,0.27643632104549376,0.43288903616971663
103 ST (1),2020-10-01,0.3021062805297483,0.4531298974611562
103 ST (1),2020-11-01,0.2923053858551029,0.4427085798116511
103 ST (1),2020-12-01,0.27884718786966345,0.4308304634341076
103 ST (1),2021-01-01,0.25622069560200234,0.375446051750735
103 ST (1),2021-02-01,0.2660397499110456,0.39767520624716424
103 ST (6),2020-04-01,0.16133412127589042,0.22565157319600582
103 ST (6),2020-05-01,0.17705956419660085,0.2537496238979069
103 ST (6),2020-06-01,0.2571266448701668,0.3623463741859668
103 ST (6),2020-07-01,0.32260209807426077,0.45049711418154414
103 ST (6),2020-08-01,0.32369567814675304,0.44452994741567275
103 ST (6),2020-09-01,0.36438395215433483,0.4932352662647179
103 ST (6),2020-10-01,0.3648356475784449,0.49645488188704046
103 ST (6),2020-11-01,0.37324993258999606,0.49790752944057415
103 ST (6),2020-12-01,0.3795471525501257,0.5167915142364942
103 ST (6),2021-01-01,0.34676196920494873,0.47208783488127004
103 ST (6),2021-02-01,0.35664600704507965,0.47520566051383895
"103 ST (B,C)",2020-04-01,0.08951324630222057,0.12587846450608575
"103 ST (B,C)",2020-05-01,0.10323917218757417,0.14930997820983816
"103 ST (B,C)",2020-06-01,0.15386404267379838,0.21866650224030915
"103 ST (B,C)",2020-07-01,0.22082085153455477,0.31335640286690736
"103 ST (B,C)",2020-08-01,0.2078936833376226,0.2876288859601519
"103 ST (B,C)",2020-09-01,0.2798111070881064,0.3764722154248812
"103 ST (B,C)",2020-10-01,0.2954103447522344,0.40802979957247776
"103 ST (B,C)",2020-11-01,0.30170757737459986,0.4439380456480435
"103 ST (B,C)",2020-12-01,0.2931519343315345,0.4273076220069457
"103 ST (B,C)",2021-01-01,0.2796461482963304,0.4118907716401917
"103 ST (B,C)",2021-02-01,0.28217962371316996,0.40270828666019465
103 ST-CORONA PLAZA (7),2020-04-01,0.12485387688665284,0.1824939856851836
103 ST-CORONA PLAZA (7),2020-05-01,0.19631701029559812,0.288128034032626
103 ST-CORONA PLAZA (7),2020-06-01,0.31946991212315945,0.4291036076411736
103 ST-CORONA PLAZA (7),2020-07-01,0.4154620039207817,0.5165769788038661
103 ST-CORONA PLAZA (7),2020-08-01,0.3859656384283683,0.5401763644377988
103 ST-CORONA PLAZA (7),2020-09-01,0.45606881923167575,0.6443516370448743
103 ST-CORONA PLAZA (7),2020-10-01,0.4797823586962119,0.6682173099165301
103 ST-CORONA PLAZA (7),2020-11-01,0.5025882065229474,0.6866464992492511
103 ST-CORONA PLAZA (7),2020-12-01,0.4980451317564496,0.64452981095492
103 ST-CORONA PLAZA (7),2021-01-01,0.4616651893567344,0.648943320685977
103 ST-CORONA PLAZA (7),2021-02-01,0.4480733830335897,0.6307077610567129
104 ST (A),2020-04-01,0.1210588286598927,0.1567893401015228
104 ST (A),2020-05-01,0.15860192723043698,0.18892096715987006
104 ST (A),2020-06-01,0.2752312067537004,0.3202261967385587
104 ST (A),2020-07-01,0.3510666966090277,0.39743093209398395
104 ST (A),2020-08-01,0.37702549512102956,0.4212543991955757
104 ST (A),2020-09-01,0.41798100383408854,0.2817154915590864
104 ST (A),2020-10-01,0.42683241142766515,0.35348649738008864
104 ST (A),2020-11-01,0.4211734359288244,0.6416316958775611
104 ST (A),2020-12-01,0.4639023920681522,0.8594128736870456
104 ST (A),2021-01-01,0.3966892190369906,0.49154489183842764
104 ST (A),2021-02-01,0.3929529383077298,0.49486301369863006
"104 ST (J,Z)",2020-04-01,0.11096312545701448,0.13421171284003808
"104 ST (J,Z)",2020-05-01,0.17908668336659928,0.1745656706045865
"104 ST (J,Z)",2020-06-01,0.28931425722530246,0.2903777807029091
"104 ST (J,Z)",2020-07-01,0.3991629868845976,0.43757510593890325
"104 ST (J,Z)",2020-08-01,0.44769487790139695,0.4861895161290323
"104 ST (J,Z)",2020-09-01,0.4652577913000575,0.4977430501509821
"104 ST (J,Z)",2020-10-01,0.4005537609598524,0.41257539033876334
"104 ST (J,Z)",2020-11-01,0.4343170789913293,0.629730224609375
"104 ST (J,Z)",2020-12-01,0.47390788693417674,0.7185564062648918
"104 ST (J,Z)",2021-01-01,0.44008530820773184,0.6711411495979224
"104 ST (J,Z)",2021-02-01,0.43662917301111714,0.8857242649393535
110 ST (6),2020-04-01,0.14071874475163393,0.23083899328726165
110 ST (6),2020-05-01,0.15964182922929326,0.2591704357666669
110 ST (6),2020-06-01,0.23039920080209353,0.3655351855251291
110 ST (6),2020-07-01,0.3072189235318157,0.4585220136180339
110 ST (6),2020-08-01,0.29768868624667455,0.4513350491231145
110 ST (6),2020-09-01,0.34100185265369576,0.510155307214258
110 ST (6),2020-10-01,0.35847317703838555,0.547505086432764
110 ST (6),2020-11-01,0.35690527734369404,0.5369632407160452
110 ST (6),2020-12-01,0.36635221273830476,0.5502754411222293
110 ST (6),2021-01-01,0.3462628646725142,0.5214527341567873
110 ST (6),2021-02-01,0.34759031663188555,0.5156248691997958
111 ST (7),2020-04-01,0.12637011090142958,0.14625407597304896
111 ST (7),2020-05-01,0.20457969920392072,0.24342278646661641
111 ST (7),2020-06-01,0.32677115250952027,0.3830267009139239
111 ST (7),2020-07-01,0.412810604023802,0.4704092207365468
111 ST (7),2020-08-01,0.41576523268830967,0.4688360814742968
111 ST (7),2020-09-01,0.48586786725764863,0.5444618459232499
111 ST (7),2020-10-01,0.4043629563728215,0.5908622889601592
111 ST (7),2020-11-01,0.4093636995117167,0.6382044235047769
111 ST (7),2020-12-01,0.49718269880162747,0.5875618135960121
111 ST (7),2021-01-01,0.4948389520330041,0.5803447275491932
111 ST (7),2021-02-01,0.2872803881348227,0.6084308504426226
111 ST (A),2020-04-01,0.12008628231815854,0.15329315540249677
111 ST (A),2020-05-01,0.15284793589966905,0.22859410241416755
111 ST (A),2020-06-01,0.25873319939572337,0.5212813620071685
111 ST (A),2020-07-01,0.3410453338421664,0.49744162247650947
111 ST (A),2020-08-01,0.36742430225395273,0.4613586358635864
111 ST (A),2020-09-01,0.41898860071914923,0.5110001349709813
111 ST (A),2020-10-01,0.4287538485549297,0.5090893717764438
111 ST (A),2020-11-01,0.4205814795003304,0.5112984054669704
111 ST (A),2020-12-01,0.4621960284591695,0.5654184238605762
111 ST (A),2021-01-01,0.41356476372027684,0.454326811895842
111 ST (A),2021-02-01,0.39052316057300196,0.44401140684410645
111 ST (J),2020-04-01,2.010062148564664,3.058564231738035
111 ST (J),2020-05-01,0.47490814380726476,0.5849766941556114
111 ST (J),2020-06-01,0.5564366202526843,0.518000847098687
111 ST (J),2020-07-01,0.37654981433696266,0.4021788323527511
111 ST (J),2020-08-01,0.416842483278718,0.4600312120686665
111 ST (J),2020-09-01,0.4847483779078968,0.5020055437795532
111 ST (J),2020-10-01,0.42525164873307886,0.3929245552822742
111 ST (J),2020-11-01,0.43337502233339287,0.4838490099009901
111 ST (J),2020-12-01,0.46702143892576486,0.5505203956299696
111 ST (J),2021-01-01,0.4280406950160036,0.6421683606984624
111 ST (J),2021-02-01,0.4148938189133282,0.5908532246587749
"116 ST (2,3)",2020-04-01,0.1202559423436742,0.2605149013572128
"116 ST (2,3)",2020-05-01,0.13720176600996048,0.2898126968340793
"116 ST (2,3)",2020-06-01,0.18687907449596197,0.36469373564550456
"116 ST (2,3)",2020-07-01,0.24472081782919308,0.495806277056277
"116 ST (2,3)",2020-08-01,0.34573961181693236,0.7317404877445678
"116 ST (2,3)",2020-09-01,0.31350735010349795,0.5824237171105789
"116 ST (2,3)",2020-10-01,0.3217269345691811,0.5617671956966599
"116 ST (2,3)",2020-11-01,0.3300771283723014,0.5737755132534441
"116 ST (2,3)",2020-12-01,0.32625507829599654,0.5468835541956337
"116 ST (2,3)",2021-01-01,0.29867713330425927,0.49869277522472144
"116 ST (2,3)",2021-02-01,0.2905560965299636,0.4762975790978924
116 ST (6),2020-04-01,0.1432535561985221,0.2945897943848623
116 ST (6),2020-05-01,0.1660244996448622,0.32238603462269977
116 ST (6),2020-06-01,0.24272510147907767,0.4248262676030444
116 ST (6),2020-07-01,0.3199030263755529,0.5955608268383599
116 ST (6),2020-08-01,0.2924116053702568,0.5316950512553154
116 ST (6),2020-09-01,0.35035138592315884,0.5782003617363344
116 ST (6),2020-10-01,0.3691048683686109,0.6027116798687159
116 ST (6),2020-11-01,0.3660257476810449,0.611557057691405
116 ST (6),2020-12-01,0.364534318078792,0.6089396325680965
116 ST (6),2021-01-01,0.3493788654297292,0.5694757379832811
116 ST (6),2021-02-01,0.3464149926148904,0.5557173851034221
"116 ST (B,C)",2020-04-01,0.09127827096525609,0.19867525271875275
"116 ST (B,C)",2020-05-01,0.09755970234253386,0.2021603245969953
"116 ST (B,C)",2020-06-01,0.16238288336905293,0.3072174189630743
"116 ST (B,C)",2020-07-01,0.24187498570546395,0.37446854900250737
"116 ST (B,C)",2020-08-01,0.22096593869673653,0.34424471546193125
"116 ST (B,C)",2020-09-01,0.2713537316832435,0.4195000931173012
"116 ST (B,C)",2020-10-01,0.27856629747355477,0.36302446598951543
"116 ST (B,C)",2020-11-01,0.2825398617476047,0.48851209865053513
"116 ST (B,C)",2020-12-01,0.27195821005917153,0.45378761186667604
"116 ST (B,C)",2021-01-01,0.2566747572815534,0.42691634843812754
"116 ST (B,C)",2021-02-01,0.27058985743043873,0.4326156826487033
116 ST-COLUMBIA UNIVERSITY (1),2020-04-01,0.03589977451800053,0.06745037579495083
