station,period,entries_diff,exits_diff,entries_compared_to_2019,exits_compared_to_2019
1 AV (L),1/1/2020,433852,497230,0.781973155,0.789332902
1 AV (L),2/1/2020,383831,464922,1.036871053,1.110730984
1 AV (L),3/1/2020,201853,273699,0.428777477,0.529828875
1 AV (L),4/1/2020,37314,62160,0.071359315,0.106037086
1 AV (L),5/1/2020,49850,76545,0.105153247,0.141740813
1 AV (L),6/1/2020,82707,123857,0.184802354,0.246959785
1 AV (L),7/1/2020,121085,172204,0.286267167,0.362018004
1 AV (L),8/1/2020,140340,200799,0.350450486,0.442258348
1 AV (L),9/1/2020,166379,227731,0.408383222,0.502370327
1 AV (L),10/1/2020,193791,262422,0.408111648,0.502906225
1 AV (L),11/1/2020,172199,240100,0.408187986,0.512094254
1 AV (L),12/1/2020,152721,232906,0.373311529,0.494977037
1 AV (L),1/1/2021,151843,240712,0.273681232,0.382120752
1 AV (L),2/1/2021,144663,230150,0.390788855,0.549844352
1 AV (L),3/1/2021,72600,116712,0.1542174,0.225932092
103 ST (1),1/1/2020,315439,171785,0.955409633,1.006845742
103 ST (1),2/1/2020,295095,156487,0.936099277,0.960278596
103 ST (1),3/1/2020,161796,99175,0.476821426,0.567570506
103 ST (1),4/1/2020,27287,25199,0.080127207,0.148909138
103 ST (1),5/1/2020,33157,29486,0.093215931,0.166539585
103 ST (1),6/1/2020,48285,40655,0.186204264,0.320004723
103 ST (1),7/1/2020,64970,53515,0.258398858,0.431318659
103 ST (1),8/1/2020,70981,59556,0.259264806,0.433872918
103 ST (1),9/1/2020,89687,70541,0.276436321,0.432889036
103 ST (1),10/1/2020,104088,80958,0.302106281,0.453129897
103 ST (1),11/1/2020,93588,74839,0.292305386,0.44270858
103 ST (1),12/1/2020,90755,72308,0.278847188,0.430830463
103 ST (1),1/1/2021,80822,64496,0.244795721,0.378016259
103 ST (1),2/1/2021,78507,62231,0.249039618,0.381878989
103 ST (1),3/1/2021,39989,30917,0.117849712,0.176935491
103 ST (6),1/1/2020,338431,324518,1.000209836,1.045988719
103 ST (6),2/1/2020,313978,304142,1.014543892,1.07851773
103 ST (6),3/1/2020,205704,210160,0.58073532,0.650998832
103 ST (6),4/1/2020,55966,71861,0.161334121,0.225651573
103 ST (6),5/1/2020,64404,83492,0.177059564,0.253749624
103 ST (6),6/1/2020,85644,111003,0.257126645,0.362346374
103 ST (6),7/1/2020,100898,133940,0.322602098,0.450497114
103 ST (6),8/1/2020,102954,135174,0.323695678,0.444529947
103 ST (6),9/1/2020,125265,156252,0.364383952,0.493235266
103 ST (6),10/1/2020,137863,172248,0.364835648,0.496454882
103 ST (6),11/1/2020,125967,158595,0.373249933,0.497907529
103 ST (6),12/1/2020,124463,160194,0.379547153,0.516791514
103 ST (6),1/1/2021,117355,153201,0.346834732,0.49379855
103 ST (6),2/1/2021,111979,144530,0.361833028,0.51251773
103 ST (6),3/1/2021,57400,72265,0.162049388,0.223850545
"103 ST (B,C)",1/1/2020,121972,84923,1.052589793,1.075532871
"103 ST (B,C)",2/1/2020,112680,80346,1.164266083,1.29805968
"103 ST (B,C)",3/1/2020,66195,49867,0.546258015,0.576117472
"103 ST (B,C)",4/1/2020,11444,11159,0.089513246,0.125878465
"103 ST (B,C)",5/1/2020,14352,14184,0.103239172,0.149309978
"103 ST (B,C)",6/1/2020,21172,21278,0.153864043,0.218666502
"103 ST (B,C)",7/1/2020,27348,29249,0.220820852,0.313356403
"103 ST (B,C)",8/1/2020,29081,29681,0.207893683,0.287628886
"103 ST (B,C)",9/1/2020,36322,35385,0.279811107,0.376472215
"103 ST (B,C)",10/1/2020,40556,38558,0.295410345,0.4080298
"103 ST (B,C)",11/1/2020,36751,36917,0.301707577,0.443938046
"103 ST (B,C)",12/1/2020,34713,35067,0.293151934,0.427307622
"103 ST (B,C)",1/1/2021,34109,34979,0.294352681,0.443002064
"103 ST (B,C)",2/1/2021,31796,32356,0.328532165,0.52273939
"103 ST (B,C)",3/1/2021,15932,16268,0.131474926,0.187945516
103 ST-CORONA PLAZA (7),1/1/2020,542653,410626,1.046747991,1.057436869
103 ST-CORONA PLAZA (7),2/1/2020,512271,380425,1.055123705,1.064384899
103 ST-CORONA PLAZA (7),3/1/2020,348016,255801,0.658841704,0.634449113
